"";"contcod";"bin_year";"country";"GHG";"GHG_prod";"GHG_cons";"totpop";"pop";"group";"RRinc";"RRmean";"region";"GHG_conscap_06";"GHG_conscap_07";"GHG_conscap_08";"GHG_conscap_09";"GHG_conscap_1";"GHG_conscap_11";"GHG_conscap_15";"GHG_prodcap_06";"GHG_prodcap_07";"GHG_prodcap_08";"GHG_prodcap_09";"GHG_prodcap_1";"GHG_prodcap_11"
"1";"TTO";1988;"Trinidad and Tobago";NA;NA;NA;1,201224;0,1201224;"9";6423,8349609375;4136,71940026245;"Latin America";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"LVA";1988;"Latvia";NA;NA;NA;2,653434;0,2653434;"6";5175,50732421875;5459,51174631278;"EU";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"KAZ";1988;"Kazakhstan";NA;NA;NA;16,130832;1,6130832;"3";5179,13623046875;8338,60893006058;"Russia/C.Asia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"TUR";1988;"Turkey";NA;NA;NA;52,2785;5,22785;"9";6902,24609375;5103,95096350477;"Mid.East/N.A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"IND";1988;"India";NA;NA;NA;837,699645996094;8,37699627272048;"100";8789,513671875;1031,43766821734;"India";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6";"NZL";1988;"New Zealand";NA;NA;NA;3,35;0,335;"7";12471,65234375;10813,1938050303;"OtherRich";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"EST";1988;"Estonia";NA;NA;NA;1,5619;0,14057100558579;"9099";19082,302734375;10781,8608961508;"EU";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"CZE";1988;"Czech Republic";NA;NA;NA;10,355276;1,0355276;"8";19639,640625;17207,7741496853;"EU";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";"ISR";1988;"Israel";NA;NA;NA;4,442;0,4442;"3";3696,58935546875;7940,54143126771;"Mid.East/N.A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"JPN";1988;"Japan";NA;NA;NA;122,613;12,2613;"9";18329,322265625;13655,8233220999;"OtherRich";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
